#lon lat
110.344493035 18.6646182310001
110.335215691 18.6733259140002
110.345388217 18.6808535830001
110.368662957 18.6859398460001
110.410899285 18.690130927
110.410899285 18.697495835
110.403493686 18.7037621110001
110.39722741 18.7037621110001
110.380137566 18.6904971370001
110.327321811 18.679348049
110.307871941 18.6627871770001
110.301036004 18.6627871770001
110.270843946 18.6681582700001
110.227224155 18.6421572940001
110.156993035 18.5807966170001
110.121104363 18.5558128930001
110.103282097 18.5393740910001
110.088145379 18.504339911
110.070648634 18.502020575
110.0341903 18.5119489600001
110.0341903 18.5057640650001
110.046153191 18.4959170590001
110.074066602 18.489081122
110.082530144 18.477769273
110.081309441 18.464544989
110.069834832 18.4269880230002
110.068207227 18.4089216170002
110.06137129 18.4089216170002
